variant,Budget,runs,median_transition_generation,median_PPO_controlled_actions,median_terminal_inclusive_updates,median_action_effective_updates,median_consumed_transitions,runs_with_zero_action_effective_updates,runs_with_terminal_only_update
AdaptiveNoBC,50,500,35.0,15.0,1.0,0.0,15.0,490,498
AdaptiveNoBC,100,500,70.0,30.0,2.0,1.0,30.0,0,488
AdaptiveNoBC,200,500,71.0,129.0,8.0,8.0,128.0,0,468
AdaptiveSAOS,50,500,35.0,15.0,1.0,0.0,15.0,490,498
AdaptiveSAOS,100,500,70.0,30.0,2.0,1.0,30.0,0,488
AdaptiveSAOS,200,500,71.0,129.0,8.0,8.0,128.0,0,468
FixedUCBPPO,50,500,24.0,26.0,2.0,1.0,26.0,0,500
FixedUCBPPO,100,500,48.0,52.0,4.0,3.0,52.0,0,500
FixedUCBPPO,200,500,96.0,104.0,7.0,6.0,104.0,0,500
RandomUCBPPO,50,500,30.5,19.5,2.0,1.0,19.5,100,500
RandomUCBPPO,100,500,55.5,44.5,3.5,2.5,44.5,0,450
RandomUCBPPO,200,500,107.0,93.0,6.0,5.0,93.0,0,450
