predictor,n,spearman_rho,p_unadjusted,p_holm_exploratory
ppo_updates,50,0.2400196425091969,0.09316965184075801,1.0
cmax_energy_correlation,50,-0.2322689075630252,0.10456107303396185,1.0
transition_gen,50,-0.17417926009606263,0.22637283417514753,1.0
jobs,50,-0.1647699114796127,0.25284483284301057,1.0
majority_action_share,50,0.16358278756913822,0.25632711577721856,1.0
bc_training_accuracy,50,0.15388312991151393,0.2859865402164757,1.0
bc_accuracy_minus_majority,50,0.14555412517397137,0.3131784602927437,1.0
operations,50,-0.14073057537944791,0.32965518627557544,1.0
normalized_label_entropy,50,-0.08944972376460247,0.5367417916460937,1.0
front_size,50,0.0749910305247819,0.604748214011823,1.0
machines,50,-0.04039952961102156,0.780585455524275,1.0
agv_energy_share_median,50,-0.024345738295318126,0.866724113819169,1.0
