Budget,variant,instances,hv_fixed_median,hv_expanded_median,igdplus_median,effective_updates_median,bc_pre_accuracy_median,bc_final_accuracy_median,bc_pre_loss_median,bc_final_loss_median,bc_kl_median,learning_time_median
100,BasePaddedBC_R16,10,1.0680256532850654,2.892154646736519,0.08157627667592618,1.0,0.09739443100988862,0.2854682207107544,2.3052691221237183,2.0128246545791626,0.3083431273698807,0.4916886866558343
100,BasePaddedNoBC_R16,10,1.06754979732117,2.8962790586975284,0.08543748323467269,1.0,0.0,0.0,0.0,0.0,0.0,0.02949014259502285
100,EnhancedBC_R16,10,1.0641481606277077,2.895546188851151,0.08711718298178006,1.0,0.09880952537059784,0.410714291036129,2.306510090827942,1.7025425434112549,1.281472086906433,0.45927907968871295
100,EnhancedNoBC_R16,10,1.0680600663483972,2.897091848896883,0.08684670315288663,1.0,0.0,0.0,0.0,0.0,0.0,0.031537066446617176
100,Original24BC_R16,10,1.0639585159155396,2.8977002135328265,0.08984895386237518,1.0,0.1000000014901161,0.30030570924282074,2.3060330748558044,1.985279619693756,0.34101907163858414,0.43938734801486135
100,Original24NoBC_R16,10,1.0618585045090687,2.8928415104237333,0.08084715333462009,1.0,0.0,0.0,0.0,0.0,0.0,0.029803587123751626
100,UCBOnly,10,1.0687813727963729,2.898369099107324,0.08650069162751736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,EnhancedBC_R16,10,1.0582407140937167,2.9052928904768542,0.07870744423982858,7.5,0.09494759701192376,0.3960653021931648,2.3060465455055237,1.75722336769104,1.1687568128108978,0.5659335411619395
200,EnhancedBC_R32,10,1.0586124049582808,2.907338601937705,0.07822516931477691,3.5,0.09494759701192376,0.3960653021931648,2.3060465455055237,1.75722336769104,1.1687568128108978,0.5025565626565367
200,EnhancedBC_R8,10,1.0682659323755697,2.9236663716323323,0.08368162187158204,15.25,0.09494759701192376,0.3960653021931648,2.3060465455055237,1.75722336769104,1.1687568128108978,0.6283068612683564
200,UCBOnly,10,1.0697017374078979,2.91861727567081,0.0831176416632774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
