contrast,Budget,Replica,n_instances,median_delta_HV_fixed,q25_delta_HV_fixed,q75_delta_HV_fixed,wins,ties,losses
online_minus_scratch,50,0,50,-0.05559337125484129,-0.08400297640062722,-0.02974531450104846,9,0,41
online_minus_scratch,50,1,50,-0.04183616441575616,-0.07111745280915742,-0.01784402152836799,12,0,38
online_minus_scratch,50,2,50,-0.043238269759718034,-0.07102295122274917,-0.013620470582789118,9,0,41
online_minus_scratch,50,3,50,-0.03962602280516625,-0.06260997842406443,0.00454974154754223,14,0,36
online_minus_scratch,50,4,50,-0.04270662424704777,-0.06826453389630074,-0.02165597342245794,7,0,43
online_minus_scratch,100,0,50,-0.09753242221140274,-0.12982785753052503,-0.069735775567723,5,0,45
online_minus_scratch,100,1,50,-0.060126412713555205,-0.08629876551593794,-0.024144026470579755,9,0,41
online_minus_scratch,100,2,50,-0.09098813970141201,-0.12005427477927676,-0.05034467953790614,7,0,43
online_minus_scratch,100,3,50,-0.062139866225270235,-0.08904276863102513,-0.038023126638579915,9,0,41
online_minus_scratch,100,4,50,-0.07036956271625522,-0.08932296906223783,-0.02839750318955124,7,0,43
online_minus_scratch,200,0,50,-0.20504695034204215,-0.28686191477450484,-0.12582960003949936,2,0,48
online_minus_scratch,200,1,50,-0.1169458483698074,-0.18738370889642858,-0.06563127365303616,5,0,45
online_minus_scratch,200,2,50,-0.17784970680952134,-0.31010434621027727,-0.10257380853182456,4,0,46
online_minus_scratch,200,3,50,-0.13563060300519866,-0.21546567500149766,-0.0757466968569036,6,0,44
online_minus_scratch,200,4,50,-0.15072564317412313,-0.19729791338631267,-0.07154308153039532,3,0,47
online_minus_ucb,50,0,50,-0.07269520989498493,-0.09411361362347412,-0.03623842619921745,10,0,40
online_minus_ucb,50,1,50,-0.049273159260173754,-0.06719286956932746,-0.02036917144892622,9,0,41
online_minus_ucb,50,2,50,-0.04787230227183581,-0.07732739212191758,-0.017285981147269383,10,0,40
online_minus_ucb,50,3,50,-0.052449376731103836,-0.07421817115901015,-0.0037136344963364515,11,0,39
online_minus_ucb,50,4,50,-0.04383349212642909,-0.07761941614886696,-0.029416307455226137,5,0,45
online_minus_ucb,100,0,50,-0.10995644111961514,-0.13995697285369482,-0.06231951921610179,8,0,42
online_minus_ucb,100,1,50,-0.05310336200533361,-0.08765131318655633,-0.025803152574305627,8,0,42
online_minus_ucb,100,2,50,-0.1016783152265355,-0.15651876102492562,-0.05174999665133635,8,0,42
online_minus_ucb,100,3,50,-0.06354468433441021,-0.09461424950494682,-0.022704852545482615,8,0,42
online_minus_ucb,100,4,50,-0.06264748800462255,-0.10103621552183599,-0.035106174955164424,5,0,45
online_minus_ucb,200,0,50,-0.1991549027768108,-0.27436542855790863,-0.1381612908495967,2,0,48
online_minus_ucb,200,1,50,-0.12116030122921331,-0.18641441090045957,-0.0677892177880247,3,0,47
online_minus_ucb,200,2,50,-0.19084690882310884,-0.2873204549688162,-0.12041848582504086,4,0,46
online_minus_ucb,200,3,50,-0.13380681317214646,-0.22281519712115483,-0.09341745673953307,4,0,46
online_minus_ucb,200,4,50,-0.14048804721606636,-0.19388733145103731,-0.07114625025233332,2,0,48
