family,contrast,metric,Budget,omitted_fold,median_delta_oriented
primary_g100,online_minus_ucb_g100,HV_fixed,100,1,-0.08986684484120355
primary_g100,online_minus_ucb_g100,HV_fixed,100,2,-0.08883610371096284
primary_g100,online_minus_ucb_g100,HV_fixed,100,3,-0.08459663221896563
primary_g100,online_minus_ucb_g100,HV_fixed,100,4,-0.07903068369578392
primary_g100,online_minus_ucb_g100,HV_fixed,100,5,-0.09106164301670178
primary_g100,online_minus_scratch_g100,HV_fixed,100,1,-0.09667340569824179
primary_g100,online_minus_scratch_g100,HV_fixed,100,2,-0.08039691856337416
primary_g100,online_minus_scratch_g100,HV_fixed,100,3,-0.08189334334484255
primary_g100,online_minus_scratch_g100,HV_fixed,100,4,-0.07723293090072958
primary_g100,online_minus_scratch_g100,HV_fixed,100,5,-0.08794646869372075
secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50,1,-0.05254811255578895
secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50,2,-0.04221690448172033
secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50,3,-0.04221690448172033
secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50,4,-0.04821837761009529
secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50,5,-0.05002359317428501
secondary_g50_g200,online_minus_scratch_g50,HV_fixed,50,1,-0.043320502935522254
secondary_g50_g200,online_minus_scratch_g50,HV_fixed,50,2,-0.04160154092023105
secondary_g50_g200,online_minus_scratch_g50,HV_fixed,50,3,-0.04048867734433215
secondary_g50_g200,online_minus_scratch_g50,HV_fixed,50,4,-0.045923761868372714
secondary_g50_g200,online_minus_scratch_g50,HV_fixed,50,5,-0.046924268375353906
secondary_g50_g200,online_minus_ucb_g200,HV_fixed,200,1,-0.16350827850766736
secondary_g50_g200,online_minus_ucb_g200,HV_fixed,200,2,-0.15239549099375183
secondary_g50_g200,online_minus_ucb_g200,HV_fixed,200,3,-0.15465189954785497
secondary_g50_g200,online_minus_ucb_g200,HV_fixed,200,4,-0.1412174309125952
secondary_g50_g200,online_minus_ucb_g200,HV_fixed,200,5,-0.1603435503057642
secondary_g50_g200,online_minus_scratch_g200,HV_fixed,200,1,-0.17318544730302743
secondary_g50_g200,online_minus_scratch_g200,HV_fixed,200,2,-0.15987241342776526
secondary_g50_g200,online_minus_scratch_g200,HV_fixed,200,3,-0.15633906273285403
secondary_g50_g200,online_minus_scratch_g200,HV_fixed,200,4,-0.14932242960875075
secondary_g50_g200,online_minus_scratch_g200,HV_fixed,200,5,-0.16681711212262296
mechanism_online_frozen,online_minus_frozen_g50,HV_fixed,50,1,0.0
mechanism_online_frozen,online_minus_frozen_g50,HV_fixed,50,2,0.0
mechanism_online_frozen,online_minus_frozen_g50,HV_fixed,50,3,0.0
mechanism_online_frozen,online_minus_frozen_g50,HV_fixed,50,4,0.0
mechanism_online_frozen,online_minus_frozen_g50,HV_fixed,50,5,0.0
mechanism_online_frozen,online_minus_frozen_g100,HV_fixed,100,1,0.0
mechanism_online_frozen,online_minus_frozen_g100,HV_fixed,100,2,0.0
mechanism_online_frozen,online_minus_frozen_g100,HV_fixed,100,3,0.0
mechanism_online_frozen,online_minus_frozen_g100,HV_fixed,100,4,0.0
mechanism_online_frozen,online_minus_frozen_g100,HV_fixed,100,5,0.0
mechanism_online_frozen,online_minus_frozen_g200,HV_fixed,200,1,-0.0006036622378774448
mechanism_online_frozen,online_minus_frozen_g200,HV_fixed,200,2,0.0013903945108620919
mechanism_online_frozen,online_minus_frozen_g200,HV_fixed,200,3,-9.877174824834967e-05
mechanism_online_frozen,online_minus_frozen_g200,HV_fixed,200,4,-0.0006036622378774448
mechanism_online_frozen,online_minus_frozen_g200,HV_fixed,200,5,0.0005119833774149818
