Budget,variant,deployments_per_checkpoint,offline_objective_evaluations_per_deployment,offline_PPO_samples_per_deployment,offline_CPU_seconds_per_deployment,online_objective_evaluations,online_CPU_seconds,total_objective_evaluations_amortized,total_CPU_seconds_amortized
50,XPrePPO_Frozen,1,1608000.0,10015.0,13557.67367806999,5100.0,45.01174827600016,1613100.0,13602.68542634599
50,XPrePPO_Frozen,10,160800.0,1001.5,1355.7673678069991,5100.0,45.01174827600016,165900.0,1400.7791160829993
50,XPrePPO_Frozen,50,32160.0,200.3,271.1534735613998,5100.0,45.01174827600016,37260.0,316.16522183739994
50,XPrePPO_Frozen,60,26800.0,166.91666666666666,225.96122796783317,5100.0,45.01174827600016,31900.0,270.97297624383333
50,XPrePPO_Frozen,100,16080.0,100.15,135.5767367806999,5100.0,45.01174827600016,21180.0,180.58848505670005
50,XPrePPO_Frozen,1000,1608.0,10.015,13.55767367806999,5100.0,45.01174827600016,6708.0,58.56942195407015
50,XPrePPO_Online_R16,1,1608000.0,10015.0,13557.67367806999,5100.0,45.433714172000236,1613100.0,13603.107392241991
50,XPrePPO_Online_R16,10,160800.0,1001.5,1355.7673678069991,5100.0,45.433714172000236,165900.0,1401.2010819789994
50,XPrePPO_Online_R16,50,32160.0,200.3,271.1534735613998,5100.0,45.433714172000236,37260.0,316.5871877334
50,XPrePPO_Online_R16,60,26800.0,166.91666666666666,225.96122796783317,5100.0,45.433714172000236,31900.0,271.3949421398334
50,XPrePPO_Online_R16,100,16080.0,100.15,135.5767367806999,5100.0,45.433714172000236,21180.0,181.01045095270013
50,XPrePPO_Online_R16,1000,1608.0,10.015,13.55767367806999,5100.0,45.433714172000236,6708.0,58.991387850070225
100,XPrePPO_Frozen,1,1608000.0,10015.0,13557.67367806999,10100.0,87.40718225249998,1618100.0,13645.08086032249
100,XPrePPO_Frozen,10,160800.0,1001.5,1355.7673678069991,10100.0,87.40718225249998,170900.0,1443.174550059499
100,XPrePPO_Frozen,50,32160.0,200.3,271.1534735613998,10100.0,87.40718225249998,42260.0,358.56065581389976
100,XPrePPO_Frozen,60,26800.0,166.91666666666666,225.96122796783317,10100.0,87.40718225249998,36900.0,313.36841022033315
100,XPrePPO_Frozen,100,16080.0,100.15,135.5767367806999,10100.0,87.40718225249998,26180.0,222.98391903319987
100,XPrePPO_Frozen,1000,1608.0,10.015,13.55767367806999,10100.0,87.40718225249998,11708.0,100.96485593056997
100,XPrePPO_Online_R16,1,1608000.0,10015.0,13557.67367806999,10100.0,86.90016731649985,1618100.0,13644.57384538649
100,XPrePPO_Online_R16,10,160800.0,1001.5,1355.7673678069991,10100.0,86.90016731649985,170900.0,1442.667535123499
100,XPrePPO_Online_R16,50,32160.0,200.3,271.1534735613998,10100.0,86.90016731649985,42260.0,358.0536408778996
100,XPrePPO_Online_R16,60,26800.0,166.91666666666666,225.96122796783317,10100.0,86.90016731649985,36900.0,312.861395284333
100,XPrePPO_Online_R16,100,16080.0,100.15,135.5767367806999,10100.0,86.90016731649985,26180.0,222.47690409719974
100,XPrePPO_Online_R16,1000,1608.0,10.015,13.55767367806999,10100.0,86.90016731649985,11708.0,100.45784099456984
200,XPrePPO_Frozen,1,1608000.0,10015.0,13557.67367806999,20100.0,168.53533757900004,1628100.0,13726.20901564899
200,XPrePPO_Frozen,10,160800.0,1001.5,1355.7673678069991,20100.0,168.53533757900004,180900.0,1524.3027053859992
200,XPrePPO_Frozen,50,32160.0,200.3,271.1534735613998,20100.0,168.53533757900004,52260.0,439.6888111403998
200,XPrePPO_Frozen,60,26800.0,166.91666666666666,225.96122796783317,20100.0,168.53533757900004,46900.0,394.4965655468332
200,XPrePPO_Frozen,100,16080.0,100.15,135.5767367806999,20100.0,168.53533757900004,36180.0,304.11207435969993
200,XPrePPO_Frozen,1000,1608.0,10.015,13.55767367806999,20100.0,168.53533757900004,21708.0,182.09301125707003
200,XPrePPO_Online_R16,1,1608000.0,10015.0,13557.67367806999,20100.0,170.40478041349945,1628100.0,13728.07845848349
200,XPrePPO_Online_R16,10,160800.0,1001.5,1355.7673678069991,20100.0,170.40478041349945,180900.0,1526.1721482204985
200,XPrePPO_Online_R16,50,32160.0,200.3,271.1534735613998,20100.0,170.40478041349945,52260.0,441.55825397489923
200,XPrePPO_Online_R16,60,26800.0,166.91666666666666,225.96122796783317,20100.0,170.40478041349945,46900.0,396.3660083813326
200,XPrePPO_Online_R16,100,16080.0,100.15,135.5767367806999,20100.0,170.40478041349945,36180.0,305.98151719419934
200,XPrePPO_Online_R16,1000,1608.0,10.015,13.55767367806999,20100.0,170.40478041349945,21708.0,183.96245409156944
