Fold,Replica,Pretrain_seed,Cumulative_objective_evaluations,Cumulative_PPO_samples,Cumulative_PPO_collected_transitions,Cumulative_PPO_discarded_singletons,Cumulative_PPO_updates,Cumulative_PPO_optimizer_steps,Cumulative_CPU_seconds,Cumulative_wall_seconds,Episodes,Generations
1,0,7042,1608000,10109,10115,6,662,2648,13383.064172366005,13384.038584470749,80,16000
1,1,7043,1608000,9669,9675,6,635,2540,13503.175845959997,13504.155032634735,80,16000
1,2,7044,1608000,10033,10037,4,661,2644,13402.103889037991,13403.138627767565,80,16000
1,3,7045,1608000,10042,10048,6,656,2624,14031.471490404005,14032.464686393738,80,16000
1,4,7046,1608000,9808,9810,2,646,2584,13373.523491509011,13374.599040269852,80,16000
2,0,7042,1608000,10015,10019,4,662,2648,13591.759454079987,13592.905824184418,80,16000
2,1,7043,1608000,10224,10228,4,674,2696,13646.607347064995,13647.6706905365,80,16000
2,2,7044,1608000,9803,9808,5,647,2588,13812.947908378,13813.923315048218,80,16000
2,3,7045,1608000,10089,10094,5,665,2660,13615.503582555002,13616.659116983414,80,16000
2,4,7046,1608000,10076,10081,5,665,2660,14320.871455152992,14321.620753526688,80,16000
3,0,7042,1608000,9626,9631,5,633,2532,14209.761760503006,14210.71243429184,80,16000
3,1,7043,1608000,9805,9808,3,647,2588,13608.687298583,13609.720677614212,80,16000
3,2,7044,1608000,10008,10016,8,657,2628,13608.320989141996,13609.36364722252,80,16000
3,3,7045,1608000,10053,10058,5,663,2652,13642.55946383,13643.544134616852,80,16000
3,4,7046,1608000,9910,9917,7,652,2608,13518.658238337992,13519.673134326937,80,16000
4,0,7042,1608000,9620,9621,1,636,2544,13551.603250658,13552.565874576569,80,16000
4,1,7043,1608000,10169,10171,2,668,2672,13824.345681701998,13825.330990552902,80,16000
4,2,7044,1608000,9175,9182,7,605,2420,13518.109326065996,13519.114062070848,80,16000
4,3,7045,1608000,10247,10249,2,677,2708,13541.333207936,13542.388744831083,80,16000
4,4,7046,1608000,9748,9757,9,638,2552,13557.67367806999,13558.599840641022,80,16000
5,0,7042,1608000,9865,9872,7,651,2604,13826.68510473299,13827.710342407228,80,16000
5,1,7043,1608000,10165,10169,4,670,2680,13372.417816655005,13373.443981170654,80,16000
5,2,7044,1608000,10208,10215,7,669,2676,13384.683243169997,13385.662093400955,80,16000
5,3,7045,1608000,9797,9799,2,646,2584,13474.805987802998,13475.955400943756,80,16000
5,4,7046,1608000,10363,10366,3,684,2736,13401.175586118992,13402.209827423096,80,16000
