Fold,Replica,Pass,n_episodes,operator_count_entropy_median,operator_count_entropy_first10_median,operator_count_entropy_last10_median,transition_generation_median,ppo_samples_total,ppo_updates_total,objective_evaluations_total
1,0,1,40,0.7589149320746628,0.9912863495906836,0.6293308945566858,70.5,4998,326,804000
1,0,2,40,0.5968637287081782,0.711247470027494,0.526107489363991,67.0,5111,336,804000
1,1,1,40,0.7339543773882244,0.9910004376996957,0.6835506891620382,69.5,4911,323,804000
1,1,2,40,0.7214235434240925,0.8239894021744454,0.5823161334411333,81.0,4758,312,804000
1,2,1,40,0.7373717205376272,0.9836599453712584,0.5727776818199197,63.5,5222,345,804000
1,2,2,40,0.677038338944886,0.5890696830459679,0.6880083610303174,73.5,4811,316,804000
1,3,1,40,0.9108799515785478,0.9876135222136629,0.8239773140369724,62.5,5137,335,804000
1,3,2,40,0.7742063538313149,0.6997223996515136,0.798419892063933,75.0,4905,321,804000
1,4,1,40,0.643736436735054,0.9865629975902952,0.624294140544392,68.0,5033,332,804000
1,4,2,40,0.638014259139225,0.631577248865067,0.7785042746266805,80.0,4775,314,804000
2,0,1,40,0.7057318769959928,0.9916736560025843,0.6779436935521159,73.0,5056,332,804000
2,0,2,40,0.6783127066178589,0.6671286524562394,0.6493329175011593,70.0,4959,330,804000
2,1,1,40,0.7742449001187962,0.9873486936881899,0.7705502387055163,67.5,4912,324,804000
2,1,2,40,0.7277362114108147,0.7347917126167111,0.6950729735489506,63.0,5312,350,804000
2,2,1,40,0.6847296475100024,0.9928652322653742,0.5890803359094686,74.5,5009,332,804000
2,2,2,40,0.6440912783463972,0.5705596154369497,0.7354547273468636,81.5,4794,315,804000
2,3,1,40,0.8857599212842442,0.9837181966203195,0.862552743112512,70.0,5214,345,804000
2,3,2,40,0.7309440139428935,0.6313138797466749,0.6550812208911717,76.5,4875,320,804000
2,4,1,40,0.7143969431041045,0.9900222247027557,0.5958265891194885,74.5,4930,325,804000
2,4,2,40,0.6348568739857905,0.6617987736280084,0.6372470765020697,62.5,5146,340,804000
3,0,1,40,0.706591412459868,0.9927131705409628,0.6756976909882721,74.5,4880,321,804000
3,0,2,40,0.7053607475390109,0.7193980597202707,0.6975392465281973,81.0,4746,312,804000
3,1,1,40,0.8277416159769247,0.9874834173118836,0.7798591748069147,69.5,5004,330,804000
3,1,2,40,0.84782219292977,0.8700391493092257,0.8490390085664645,69.5,4801,317,804000
3,2,1,40,0.7562345969385087,0.992304299381451,0.753047617859903,71.0,5145,336,804000
3,2,2,40,0.6962620834471389,0.8093732928409976,0.5626082754397502,70.5,4863,321,804000
3,3,1,40,0.8888947308627917,0.9908381645853992,0.7894099275040833,70.5,4876,322,804000
3,3,2,40,0.7489118712696426,0.7323288901072963,0.7376735625699418,67.0,5177,341,804000
3,4,1,40,0.6945007005285566,0.9852201545414295,0.6584454939796569,66.5,5141,337,804000
3,4,2,40,0.7826110005995435,0.7025751237670106,0.7652021223399904,77.5,4769,315,804000
4,0,1,40,0.8420395118490455,0.9924260002898877,0.7089758127270371,75.5,4837,321,804000
4,0,2,40,0.669643916339455,0.6295804817742534,0.7097718796307906,80.0,4783,315,804000
4,1,1,40,0.8368360864714336,0.9846894808563564,0.7059288831622246,64.0,5186,339,804000
4,1,2,40,0.830227513173052,0.9314142232454541,0.7714258779380985,72.5,4983,329,804000
4,2,1,40,0.7648580726560936,0.9938531063270097,0.6977357080945212,90.0,4566,301,804000
4,2,2,40,0.6444691246594922,0.5886208698694952,0.6444691246594922,84.5,4609,304,804000
4,3,1,40,0.8247401024299374,0.9902661845739895,0.8170426490003297,63.0,5205,345,804000
4,3,2,40,0.7648655313102246,0.7561752993611317,0.6770162033266154,68.0,5042,332,804000
4,4,1,40,0.8552200039422562,0.992128686204937,0.6627302069313548,71.5,4921,322,804000
4,4,2,40,0.7049173132256321,0.700834022562384,0.6730766418247137,80.5,4827,316,804000
5,0,1,40,0.8297081196104691,0.9907879690279392,0.8170514282815786,83.0,4844,320,804000
5,0,2,40,0.73070069742818,0.7415380169948107,0.6849239699169294,66.5,5021,331,804000
5,1,1,40,0.7708958433775599,0.9925306793896603,0.7089039964846116,73.5,4905,323,804000
5,1,2,40,0.5994872255708048,0.6142373227095334,0.6477029597347435,63.5,5260,347,804000
5,2,1,40,0.840121672387394,0.9925244722499229,0.7262225121408292,68.5,4950,323,804000
5,2,2,40,0.6966842966578248,0.6361555048680805,0.7367029388782683,64.0,5258,346,804000
5,3,1,40,0.8878225877468522,0.9931356168053367,0.7925476720986617,74.0,4837,320,804000
5,3,2,40,0.7835125731407864,0.7821312398374025,0.7400554653880158,67.5,4960,326,804000
5,4,1,40,0.7818036805705866,0.9820285125879042,0.6516497970607666,62.0,5283,347,804000
5,4,2,40,0.7979427110647563,0.7220438160837428,0.7896751545750881,69.0,5080,337,804000
