Budget,variant,instances,HV_fixed_median,HV_fixed_q25,HV_fixed_q75,HV_fixed_valid_instances,HV_expanded_1p5_median,HV_expanded_1p5_q25,HV_expanded_1p5_q75,HV_expanded_1p5_valid_instances,IGDplus_fixed_median,IGDplus_fixed_q25,IGDplus_fixed_q75,IGDplus_fixed_valid_instances
100,BasePaddedBC_R16,30,1.0856930342143274,0.9854650240333008,1.1226918359274036,30,2.92499442108529,2.7271612298117587,3.0034803508902908,30,0.08800219271637791,0.06709563662756986,0.1160819660680093,30
100,BasePaddedNoBC_R16,30,1.0777470387819323,0.9870702118482516,1.1384897548945427,30,2.900619902688807,2.741137889436418,3.022684326752205,30,0.08366366799720301,0.06513746809934236,0.1133077728787895,30
100,EnhancedBC_R16,30,1.0781000353871817,0.9737221115858424,1.158274971078421,30,2.9077216416780653,2.7469134294688513,3.0586331633750206,30,0.08150482337101106,0.06634834010731122,0.10955637211832873,30
100,EnhancedNoBC_R16,30,1.0777470387819323,0.9783890480861661,1.140072823298593,30,2.900619902688807,2.7317003054915183,3.025886594627482,30,0.08433711424791118,0.06462029341338475,0.1117631320419131,30
100,UCBOnly,30,1.1039491469123417,0.9816647421904836,1.1531336968566925,30,2.968146470651397,2.727419465906972,3.0464603169504776,30,0.08419992616971492,0.05834200419064187,0.10811859562707343,30
200,EnhancedBC_R16,30,1.1146316309578979,1.0062841400316775,1.161971570137961,30,2.981833505644423,2.7659969595959044,3.0680625782500845,30,0.08121038681461923,0.05496723922349116,0.10465063550808432,30
200,EnhancedBC_R32,30,1.111841607247916,1.0102907655496958,1.1614420670903554,30,2.976913512302862,2.7725388227345893,3.0650503988908806,30,0.0741288643144018,0.05177676175141092,0.11567955833657116,30
200,EnhancedBC_R8,30,1.1183331399060799,0.9864847088760752,1.1572670986382545,30,2.9908663507823965,2.721821189783717,3.056471990670124,30,0.0777792377846833,0.05464275317092482,0.10939314135358025,30
200,UCBOnly,30,1.1209695919902263,1.0222328788623478,1.1743171177516072,30,2.991769136372606,2.79254797924744,3.082705134805237,30,0.07429612842844316,0.050022372639066115,0.09101315908246592,30
